"name","category","total_net_sales","total_qty","order_type"
"Gambas al Ajillo ""Garlic Shrimp""",entree,151.6,8,pick-up
Chicken & Green Onion Muchim,entree,151.6,8,pick-up
Makgeolli (Korean Rice Wine),alcohol,146.9,9,delivery
Bonbon Grape Juice,non-alcohol,141.28,59,delivery
Korean Pear Juice,non-alcohol,141.28,60,delivery
Ramyeon Noodles,sides,137.17,34,delivery
Kimchi,sides,132.0,132,dine-in
Orange,non-alcohol,124.0,124,dine-in
Grapefruit Iced Blended Makgeolli,alcohol,98.96,11,dine-in
Coke,non-alcohol,89.78,30,delivery
Banana Milk,non-alcohol,86.78,28,delivery
Bottled Beer,alcohol,74.92,8,delivery
Ramyeon Noodles,sides,74.0,25,pick-up
Flavor Soju,alcohol,69.7,7,delivery
Udon Noodles,sides,68.54,17,delivery
Sprite,non-alcohol,62.84,21,delivery
Hot Green Tea,non-alcohol,41.3,14,dine-in
Donkatsu,entree,37.9,2,pick-up
Tonic Water,non-alcohol,33.83,17,dine-in
Extra cheese,sides,32.66,10,delivery
Extra cheese,sides,26.55,9,pick-up
Maksa,alcohol,21.73,2,delivery
Udon Noodles,sides,20.85,7,pick-up
Spam,sides,18.0,18,dine-in
Sake (사케),alcohol,15.99,2,dine-in
Sang Makgeolli,alcohol,12.74,1,delivery
Boiled Egg,sides,12.0,12,dine-in
소면사리 Thin Noodles,sides,11.8,4,pick-up
Peach Makgeolli,alcohol,10.49,1,delivery
Soft Tofu,sides,10.0,10,dine-in
Sausages,sides,9.0,9,dine-in
Tofu,sides,6.0,6,dine-in
Pineapple,non-alcohol,5.98,3,dine-in
Green Tea,non-alcohol,4.99,1,dine-in
Fanta,non-alcohol,2.99,1,delivery
